d0,d1,d2,d3,d4,d5,d6,d7,RD,WR,cs,A0,A1,A2,A3,A4,A5,A6,A7,,
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,,03FF
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,,03FF
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,,03FF
0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,,FBF8
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,,03F8
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,,03F8
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,,03F8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,,7FF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,FFF8
0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,FFF8
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFF8
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFF9
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,FFF9
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,FFF9
1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,,EFF9
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,7FF9
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,7FF9
